"En route pour l'épisode 174, avec un petit bonus à la clé !
Il y aura probablement encore un épisode sur ce sujet, pour cause de PLS a placer, avant de passer à autre chose... ENFIN !
Bon épisode !",0.7513
Question pour moi qui suis au fond de la classe c'est quoi le Rainbow Warrior ?,0.4404
"Le 18-25 qui fait un meilleur job que les médias officiels, bravo bravo 👏🏻",0.0
Benalla à la benne!,0.0
"Yo
J'ai pas de compte JVC pour le signaler, mais dans le PDF il manque le fait que Benalla n'a pas déclarer ses biens alors que c'est obligatoire pour tout les collaborateurs du président.
Ca avait été dit lors d'une commission du Sénat. Par un des directeurs du cabinet du président ( kholer je crois ) il faudrait le rajouter je pense",-0.128
18-25 L'élite de la nation,0.0
"y'a que moi qui trouve que Benalla ressemble a Serge le mytho ? 
ca pourrait expliquer pas mal de choses...",0.0
jymmi moha quoi! Ce mec n'a rien de rebeu mais plutot! Euuuh non faut pas le dire!!!!,0.0
Il est temps de tourner la page Mācron.😀🃏,0.0
"Voilà pourquoi la France est toujours en galère et ne pourra jamais se sortir des crises économiques, si tout le monde passe son temps a chercher des petites bêtes au gouvernement plutôt qu'à accepter les consignes on ne va jamais s'en sortir et c'est bien dommage",-0.128
"La fin tragique de Macron ?
Jusqu'à présent, tous les connards dans son genre ont fini tranquillement leur vie au milieu de la Bourgeoisie la plus bourgeoise à manger des petits fours.",0.0
"Oui, c'est la désinformation par la ""surinformation"" inutile.",0.0
"a ce prix la, Brigitte je la zouk... meilleur punchline... EVER... j'ai pleurer de rire, merci pour ce bon moment d'analyse.",0.0
J'ai le droit de dire que j'ai peur pour ma France ?,-0.4588
"Oh, petit con sympas, Même si c'étais belle et bien une affaires d'état avec des fais réitérés ben benalla est d'origine arabe et aucun affaire d'état a traité d'un homme avec ces origines donc chut. Et même si c'était ce genre d’affaire d'état une affaire d'état c'est retro, et la on est en 2018, c'est retro 2018 hein? c'est retro? NON donc chut.",0.0
Bonjour !je cherche  un affuteur de haches.oui oui je suis bûcheron. ! Pour cette hiver,0.0
"""Benalla découvre la lune"" ahahah",0.0
"Comment vous faites pour pas péter un plomb vous ? 




Parce que je crois, que je suis en train de péter un plomb de voir les gens qui s'en cognent !",0.0
Ah Greg je te kiff t un rayon de soleil merci!!😉😁mais le mensonge es total 🤤😝..bienvenue sur la terre😨😨😨😨😵😵😵,0.0
J'y fut,0.0
"Jimmy Mohamed.
C'est un troll du 18-25?🎅",0.0
"On ne parle pas des 1200 dégénérés qui ont saccagé tout un quartier de Paris pour mieux défoncer du CRS en toute impunité et qui ont fait passer Benalla pour une vulgaire tapette... Décidément, l'indignation sélective...",-0.128
pourquoi ont-ils choisi cette police d'ecriture pour leur document?,0.0
"_ Un journaliste c'est soit une put, soit Un chomeur, soit un khey. 

_ Donc un chomeur ?

_ ...",0.0
jimmy c'est quoi ce collabo insterstellaire ! Quand on reprendra le pouvoir guillotinez ceux la en prio !!!,0.0
"""Tous les week end j'la zouk"" 😅😅jpp",0.0
C'est beaucoup plus long qu'un tweet personne ne va lire ça ! :(,-0.4926
Bah putain pour une fois que cette bande de débiles fait un truc utile. Chapeau.,0.0
